"","origin","destination","O_DistToCoastPC","D_DistToCoastPC","O_ParallelToCoastPC","D_ParallelToCoastPC","SSdist","max_flow","reliable_path","EucDist","DivMig","upcoast","offshore","max_flow_logdist","reliable_path_logdist"
"910","13","25",-1.05667643651094,-0.0638785506198568,0.648627003716782,-0.655435417458152,5,0.000456588,1.8e-11,637.0067854,0.503,-1.30406242117493,0.992797885891081,8.69172910542287,25.7406493580324
"911","14","25",-0.69932449130601,-0.0638785506198568,0.427843271471202,-0.655435417458152,4,0.002238898,8.24e-07,464.8201236,0.278,-1.08327868892935,0.635445940686153,7.10177149845504,15.0090953070369
"912","15","25",-1.0569725817112,-0.0638785506198568,0.310638396572871,-0.655435417458152,NA,0,0,622.3590174,0.719,-0.966073814031022,0.993094031091348,Inf,Inf
"913","16","25",-0.688236787230712,-0.0638785506198568,0.208103671492821,-0.655435417458152,4,0.001151334,5.19e-09,447.4186809,0.723,-0.863539088950973,0.624358236610855,7.76683400888713,20.0765321397686
"914","17","25",0.107106014529326,-0.0638785506198568,-0.337620371502724,-0.655435417458152,2,0.000288385,0.000239577,115.8309692,0.443,-0.317815045955428,-0.170984565149183,9.1512141650018,9.33663568965284
"915","18","25",0.126312171458394,-0.0638785506198568,-0.343488547332525,-0.655435417458152,2,0.001019828,0.000184833,128.2430154,0.072,-0.311946870125627,-0.190190722078251,7.88812129335614,9.5960578432701
"916","19","25",0.489697224702065,-0.0638785506198568,-0.477313114868541,-0.655435417458152,2,0.000346519,3.8e-06,359.3187456,0.209,-0.178122302589611,-0.553575775321921,8.96757290678281,13.4805094912319
"917","20","25",-0.024479295955794,-0.0638785506198568,-0.305948889268524,-0.655435417458152,2,0.000630205,0.00173197,41.76815566,0.35,-0.349486528189628,-0.0393992546640628,8.36946539468336,7.35849579000807
"918","21","25",-0.0369272044406424,-0.0638785506198568,-0.098385208220045,-0.655435417458152,2,0.002238898,0.00179786,67.12721372,0.252,-0.557050209238107,-0.0269513461792144,7.10177149845504,7.32115821025795
"919","22","25",0.0220858155559212,-0.0638785506198568,0.206607649260836,-0.655435417458152,2,0.002238898,0.001300365,103.5878142,1,-0.862043066718987,-0.0859643661757781,7.10177149845504,7.64511028469218
"920","23","25",0.047754075728943,-0.0638785506198568,0.112037545035491,-0.655435417458152,3,0.001626353,1.4e-05,106.3239449,0.205,-0.767472962493643,-0.1116326263488,7.42141519424773,12.176453228349
"921","25","25",-0.0638785506198568,-0.0638785506198568,-0.655435417458152,-0.655435417458152,NA,NA,NA,0,NA,0,0,NA,NA
"922","27","25",0.399527824096414,-0.0638785506198568,-0.675749889439903,-0.655435417458152,2,0.000313283,1.94e-07,291.9076767,0.048,0.0203144719817513,-0.463406374716271,9.06840362256992,16.4554076778831
"923","28","25",0.0205538871473139,-0.0638785506198568,-0.225005669864315,-0.655435417458152,3,0.00128917,6.79e-05,58.45218544,0.596,-0.430429747593837,-0.0844324377671708,7.65375667853886,10.5974745233996
"924","29","25",0.12742353346553,-0.0638785506198568,-0.244560919947458,-0.655435417458152,2,0.000617155,0.000321113,85.80880919,0.376,-0.410874497510694,-0.191302084085387,8.39039035004907,9.04371747185838
"925","30","25",0.114906935381059,-0.0638785506198568,-0.143855496859074,-0.655435417458152,3,0.002238898,1.28e-05,130.9609693,0.35,-0.511579920599077,-0.178785486000916,7.10177149845504,12.2660653870387
"926","31","25",0.821754173337599,-0.0638785506198568,-0.0578596414499133,-0.655435417458152,9,1.36e-05,1.13e-24,545.3200794,0.178,-0.597575776008238,-0.885632723957456,12.2054407652223,56.1398245991329
"927","32","25",0.655601277818623,-0.0638785506198568,-0.167101115696014,-0.655435417458152,3,2.22e-05,6.91e-09,453.1291566,0.086,-0.488334301762138,-0.719479828438479,11.715418269086,19.7902961991668
"928","33","25",1.145615550716,-0.0638785506198568,0.139926842349889,-0.655435417458152,14,2.31e-11,5.47e-36,747.0368415,0.057,-0.795362259808041,-1.20949410133586,25.4911884984008,82.1937847313518
"929","34","25",1.16694139725991,-0.0638785506198568,0.0478894831728795,-0.655435417458152,14,2.31e-11,1.08e-36,756.7332324,0.037,-0.703324900631031,-1.23081994787976,25.4911884984008,83.8161023066495
"930","35","25",1.14789400633186,-0.0638785506198568,-0.0123349438923604,-0.655435417458152,14,2.31e-11,1.15e-36,743.6703607,0.04,-0.643100473565791,-1.21177255695171,25.4911884984008,83.7533014054105
"931","36","25",1.18870919700706,-0.0638785506198568,-0.0959718848445982,-0.655435417458152,14,2.31e-11,9.23e-37,764.9365372,0.07,-0.559463532613554,-1.25258774762692,25.4911884984008,83.9731893922649
"932","37","25",1.15391415637257,-0.0638785506198568,-0.0587310981533737,-0.655435417458152,14,2.31e-11,1.02e-35,745.5679176,0.031,-0.596704319304778,-1.21779270699242,25.4911884984008,81.5706756274954
"933","38","25",1.142225733093,-0.0638785506198568,0.183742766501133,-0.655435417458152,13,2.31e-11,4.23e-35,746.2613154,0.035,-0.839178183959285,-1.20610428371286,25.4911884984008,80.1482762617334
"934","40","25",1.29068691289919,-0.0638785506198568,-1.51991806650458,-0.655435417458152,15,2.31e-11,1.5e-40,802.9841855,0.102,0.864482649046433,-1.35456546351904,25.4911884984008,92.6979386116537
"935","42","25",1.21780161960289,-0.0638785506198568,-0.0571917330639433,-0.655435417458152,14,2.31e-11,3.51e-36,782.7506548,0.097,-0.598243684394208,-1.28168017022275,25.4911884984008,82.6374473103079
"936","43","25",1.1212900077602,-0.0638785506198568,-1.84190094670069,-0.655435417458152,16,2.31e-11,5.98e-44,709.5266957,0.111,1.18646552924254,-1.18516855838006,25.4911884984008,100.525323523775
"937","1","27",-1.42734723860918,0.399527824096414,0.847584253071381,-0.675749889439903,6,6.06e-06,6.29e-15,1109.888091,0.157,-1.52333414251128,1.82687506270559,13.0138007578831,33.6998153241983
"938","2","27",-1.25268966863477,0.399527824096414,1.39284430599047,-0.675749889439903,6,6.06e-06,7.67e-18,1017.31744,0.126,-2.06859419543037,1.65221749273118,13.0138007578831,40.4092150585137
"939","3","27",-1.19176302782223,0.399527824096414,0.834217940358819,-0.675749889439903,7,6.06e-06,5.93e-19,962.0606348,0.091,-1.50996782979872,1.59129085191864,13.0138007578831,42.9690925538772
"940","4","27",-1.21658172638856,0.399527824096414,0.590864438510349,-0.675749889439903,7,6.06e-06,4.52e-21,975.3733067,0.111,-1.26661432795025,1.61610955048498,13.0138007578831,47.8457749590308
"941","5","27",-1.13964563546912,0.399527824096414,0.381142327287051,-0.675749889439903,6,3.79e-06,9.81e-14,923.0164121,0.119,-1.05689221672695,1.53917345956554,13.4831445388699,30.9527890283394
